Datetime,open,high,low,close,volume
2014-02-24,102.315,102.626,102.19,102.514,113563
2014-02-25,102.515,102.524,101.98,102.287,145585
2014-02-26,102.284,102.61,102.05,102.338,148985
2014-02-27,102.341,102.4,101.52,101.712,192622
2014-02-28,101.711,102.292,101.58,101.775,127020
2014-03-02,101.53,101.686,101.21,101.44,47463
2014-03-03,101.441,101.735,101.16,101.61,144711
2014-03-04,101.642,102.286,101.61,102.179,148678
2014-03-05,102.186,102.76,102.07,102.662,144336
2014-03-06,102.66,103.167,102.58,102.997,136735
2014-03-07,103.0,103.76,102.81,103.27,116022
2014-03-09,102.8,103.294,102.61,103.075,39727
2014-03-10,103.08,103.425,102.91,103.298,122759
2014-03-11,103.29,103.357,102.75,102.943,137658
2014-03-12,102.947,102.971,102.51,102.664,142116
2014-03-13,102.671,102.801,101.51,101.648,194944
2014-03-14,101.667,101.805,101.18,101.351,145674
2014-03-16,101.25,101.562,101.208,101.538,37808
2014-03-17,101.538,101.941,101.48,101.768,134673
2014-03-18,101.772,101.784,101.24,101.464,160907
2014-03-19,101.472,102.682,101.4,102.269,172166
2014-03-20,102.269,102.548,102.17,102.356,119762
2014-03-21,102.348,102.406,101.99,102.272,88582
2014-03-23,102.21,102.573,102.06,102.391,41182
2014-03-24,102.397,102.646,102.1,102.283,132992
2014-03-25,102.29,102.487,102.06,102.27,133047
2014-03-26,102.289,102.471,101.69,102.201,147196
2014-03-27,102.2,102.433,101.968,102.16,147522
2014-03-28,102.158,102.982,102.05,102.8,89558
2014-03-30,102.773,102.98,102.73,102.839,27213
2014-03-31,102.83,103.437,102.76,103.274,127116
2014-04-01,103.28,103.932,103.17,103.815,111846
2014-04-02,103.819,104.07,103.55,103.991,113316
2014-04-03,103.988,104.114,103.77,103.897,103188
2014-04-04,103.903,104.126,103.17,103.313,115961
2014-04-06,103.27,103.41,103.05,103.105,24247
2014-04-07,103.098,103.304,102.72,102.95,129329
2014-04-08,102.955,102.987,101.52,102.058,184293
2014-04-09,102.054,102.158,101.61,101.69,162095
2014-04-10,101.69,101.972,101.3,101.626,202764
2014-04-11,101.59,101.87,101.32,101.59,155235
2014-04-13,101.579,101.714,101.39,101.564,36982
2014-04-14,101.57,102.011,101.49,101.909,156053
2014-04-15,101.911,102.261,101.46,102.194,189283
2014-04-16,102.194,102.365,101.84,102.017,151089
2014-04-17,102.013,102.57,101.91,102.394,111884
2014-04-18,102.37,102.463,102.33,102.423,17382
2014-04-20,102.46,102.706,102.33,102.576,27317
2014-04-21,102.566,102.723,102.46,102.644,66086
2014-04-22,102.647,102.692,102.37,102.536,113830
2014-04-23,102.542,102.632,102.145,102.294,124633
2014-04-24,102.301,102.646,102.06,102.283,139532
2014-04-25,102.29,102.389,101.93,102.179,95479
2014-04-27,102.15,102.25,102.01,102.156,25121
2014-04-28,102.157,102.624,102.12,102.49,126435
2014-04-29,102.491,102.782,102.29,102.409,129501
2014-04-30,102.409,102.66,102.0,102.255,145028
2014-05-01,102.23,102.385,102.12,102.35,89395
2014-05-02,102.355,103.019,102.09,102.16,127010
2014-05-04,102.14,102.262,101.83,101.917,21865
2014-05-05,101.921,102.19,101.84,102.02,86564
2014-05-06,102.016,102.07,101.47,101.584,140128
2014-05-07,101.585,102.007,101.4,101.79,161018
2014-05-08,101.817,101.86,101.43,101.69,155411
2014-05-09,101.7,101.86,101.59,101.86,98721
2014-05-11,101.75,102.049,101.736,101.959,33009
2014-05-12,101.956,102.327,101.81,102.269,118833
2014-05-13,102.27,102.364,102.03,102.09,138914
2014-05-14,102.119,102.168,101.63,101.814,151699
2014-05-15,101.819,102.116,101.29,101.483,195709
2014-05-16,101.487,101.671,101.33,101.52,122635
2014-05-18,101.525,101.62,101.39,101.457,31174
2014-05-19,101.467,101.599,101.07,101.525,161185
2014-05-20,101.533,101.537,101.09,101.173,154861
2014-05-21,101.173,101.76,100.798,101.709,189266
2014-05-22,101.712,101.857,101.44,101.767,147592
2014-05-23,101.77,102.005,101.57,101.95,105990
2014-05-25,101.873,102.051,101.83,101.907,22866
2014-05-26,101.902,101.991,101.8,101.97,76698
2014-05-27,101.95,102.141,101.7,101.92,140538
2014-05-28,101.925,101.978,101.61,101.714,146142
2014-05-29,101.713,101.796,101.39,101.591,154709
2014-05-30,101.592,101.846,101.5,101.76,99997
2014-06-01,101.79,102.089,101.72,102.04,34803
2014-06-02,102.01,102.482,101.89,102.342,144877
2014-06-03,102.341,102.796,102.24,102.686,145614
2014-06-04,102.687,102.762,102.4,102.51,150260
2014-06-05,102.51,102.734,102.22,102.312,176943
2014-06-06,102.319,102.611,102.088,102.5,125344
2014-06-08,102.461,102.649,102.37,102.513,30191
2014-06-09,102.507,102.594,102.27,102.302,118891
2014-06-10,102.31,102.418,102.18,102.268,142505
2014-06-11,102.277,102.363,101.83,102.072,150513
2014-06-12,102.071,102.143,101.57,101.915,167026
2014-06-13,101.88,102.138,101.78,101.96,118451
2014-06-15,102.042,102.09,101.69,101.727,31363
2014-06-16,101.727,102.073,101.69,101.967,131925
2014-06-17,101.967,102.301,101.86,102.28,128230
2014-06-18,102.286,102.358,101.83,101.911,146193
2014-06-19,101.906,102.001,101.7,101.843,127779
2014-06-20,101.841,102.196,101.78,102.03,81063
2014-06-22,102.06,102.136,101.87,101.941,26106
2014-06-23,101.93,101.959,101.78,101.926,100555
2014-06-24,101.924,102.167,101.8,101.9,114536
2014-06-25,101.893,101.954,101.59,101.778,111827
2014-06-26,101.78,101.817,101.29,101.423,134253
2014-06-27,101.432,101.478,101.278,101.37,84334
2014-06-29,101.37,101.472,101.23,101.3,26475
2014-06-30,101.27,101.532,101.21,101.439,126498
2014-07-01,101.439,101.651,101.36,101.59,156823
2014-07-02,101.589,101.943,101.37,101.868,168710
2014-07-03,101.868,102.266,101.82,102.058,169417
2014-07-04,102.057,102.11,101.94,102.07,70820
2014-07-06,102.0,102.201,101.98,102.114,29966
2014-07-07,102.112,102.144,101.65,101.808,152049
2014-07-08,101.808,101.862,101.41,101.61,159252
2014-07-09,101.61,101.86,101.46,101.51,156385
2014-07-10,101.528,101.571,101.04,101.243,190496
2014-07-11,101.233,101.386,101.2,101.29,107693
2014-07-13,101.36,101.42,101.281,101.388,29512
2014-07-14,101.381,101.645,101.34,101.586,135189
2014-07-15,101.595,101.764,101.41,101.738,176111
2014-07-16,101.738,101.793,101.42,101.486,160795
2014-07-17,101.489,101.58,101.06,101.328,212787
2014-07-18,101.327,101.449,101.24,101.31,131374
2014-07-20,101.36,101.39,101.17,101.218,24544
2014-07-21,101.217,101.516,101.16,101.465,140469
2014-07-22,101.469,101.603,101.3,101.42,156692
2014-07-23,101.418,101.588,101.29,101.459,135881
2014-07-24,101.46,101.859,101.38,101.755,153395
2014-07-25,101.761,101.938,101.66,101.82,125719
2014-07-27,101.75,101.84,101.71,101.818,35819
2014-07-28,101.819,101.992,101.72,101.973,152014
2014-07-29,101.973,102.158,101.82,102.087,181672
2014-07-30,102.09,103.085,102.05,102.774,230967
2014-07-31,102.781,103.006,102.69,102.93,209061
2014-08-01,102.932,103.03,102.314,102.57,192936
2014-08-03,102.596,102.691,102.43,102.671,34621
2014-08-04,102.671,102.73,102.37,102.518,156689
2014-08-05,102.514,102.925,102.43,102.556,189990
2014-08-06,102.562,102.611,101.75,102.226,222278
2014-08-07,102.225,102.46,101.57,101.808,259061
2014-08-08,101.807,102.081,101.48,102.0,187360
2014-08-10,102.04,102.216,102.02,102.118,46020
2014-08-11,102.131,102.361,101.98,102.284,165994
2014-08-12,102.283,102.363,102.05,102.289,170295
2014-08-13,102.287,102.657,102.19,102.576,181424
2014-08-14,102.571,102.621,102.27,102.507,175348
2014-08-15,102.516,102.716,102.11,102.29,172165
2014-08-17,102.21,102.444,102.15,102.311,32315
2014-08-18,102.312,102.65,102.26,102.593,141967
2014-08-19,102.592,103.225,102.49,103.141,180578
2014-08-20,103.141,103.959,103.1,103.86,231317
2014-08-21,103.86,103.952,103.577,103.76,212180
2014-08-22,103.759,104.193,103.47,103.91,181384
2014-08-24,104.3,104.46,104.09,104.231,52598
2014-08-25,104.231,104.233,103.72,103.862,204108
2014-08-26,103.862,104.172,103.78,104.004,215935
2014-08-27,104.006,104.073,103.66,103.746,212045
2014-08-28,103.746,103.89,103.52,103.821,184832
2014-08-29,103.822,104.107,103.73,104.0,93978
2014-08-31,104.03,104.21,104.023,104.179,38059
2014-09-01,104.179,104.866,104.06,104.799,173211
